actor_name,href,oscar,movie_name,sag,golden_globe_drama,golden_globe_mc,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Sean Penn,https://en.wikipedia.org/wiki/Sean_Penn,1,Milk,1,0,0,0,1,0,0,R,7.6,84,128,2008,4,8,Focus Features,31841299,Drama,54586584
Richard Jenkins,https://en.wikipedia.org/wiki/Richard_Jenkins,0,The Visitor,0,0,0,0,0,1,0,PG-13,7.7,79,119,2008,3.6,7.6,Overture Films,9427089,Comedy,18078175
Frank Langella,https://en.wikipedia.org/wiki/Frank_Langella,0,Frost/Nixon,0,0,0,0,0,0,0,R,7.7,80,122,2008,3.9,7.9,Universal,18622031,Drama,27426335
Brad Pitt,https://en.wikipedia.org/wiki/Brad_Pitt,0,The Curious Case of Benjamin Button,0,0,0,0,0,0,0,PG-13,7.8,70,166,2008,3.8,7.1,Paramount,127509326,Fantasy,333932083
Mickey Rourke,https://en.wikipedia.org/wiki/Mickey_Rourke,0,The Wrestler,0,1,0,1,0,0,0,R,7.9,81,109,2008,4,8.4,Fox Searchlight,26238243,Sports,44703995
Jeff Bridges,https://en.wikipedia.org/wiki/Jeff_Bridges,1,Crazy Heart,1,1,0,0,1,0,0,R,7.3,83,112,2009,3.6,7.4,Fox Searchlight,39464306,Drama,47405566
George Clooney,https://en.wikipedia.org/wiki/George_Clooney,0,Up in the Air,0,0,0,0,0,0,1,R,7.4,83,109,2009,3.8,8.1,Paramount,83823381,Comedy,166842739
Colin Firth,https://en.wikipedia.org/wiki/Colin_Firth,0,A Single Man,0,0,0,1,0,0,0,R,7.6,77,99,2009,3.9,7.3,Weinstein Company,9176000,Drama,24964890
Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman,0,Invictus,0,0,0,0,0,0,1,PG-13,7.4,74,134,2009,3.6,6.6,Warner Bros.,37491364,Drama,122233971
Jeremy Renner,https://en.wikipedia.org/wiki/Jeremy_Renner,0,The Hurt Locker,0,0,0,0,0,1,0,R,7.6,94,131,2008,3.9,8.5,Summit Entertainment,17017811,War,49230772
Colin Firth,https://en.wikipedia.org/wiki/Colin_Firth,1,The King's Speech,1,1,0,1,1,1,0,R,8,88,118,2010,4.3,8.6,Weinstein Company,138797449,Drama,414211549
Javier Bardem,https://en.wikipedia.org/wiki/Javier_Bardem,0,Biutiful,0,0,0,0,0,0,0,R,7.5,58,148,2010,3.8,6.4,Roadside Attractions,5101237,Foreign,25147786
Jeff Bridges,https://en.wikipedia.org/wiki/Jeff_Bridges,0,True Grit,0,0,0,0,0,0,0,PG-13,7.6,80,110,2010,4,8.3,Paramount,171243005,Western,252276927
Jesse Eisenberg,https://en.wikipedia.org/wiki/Jesse_Eisenberg,0,The Social Network,0,0,0,0,0,0,1,PG-13,7.7,95,120,2010,4.2,9,Sony / Columbia,96962694,Comedy,224920315
James Franco,https://en.wikipedia.org/wiki/James_Franco,0,127 Hours,0,0,0,0,0,0,0,R,7.6,82,94,2010,4,8.3,Fox Searchlight,18335230,Drama,60738797
Jean Dujardin,https://en.wikipedia.org/wiki/Jean_Dujardin,1,The Artist,1,0,1,1,0,0,0,U,7.9,89,100,2011,4.2,8.8,A24,21101724,Comedy,28801724
Demian Bichir,https://en.wikipedia.org/wiki/Demi%C3%A1n_Bichir,0,A Better Life,0,0,0,0,0,0,0,PG-13,7.2,64,98,2011,3.9,6.8,Summit Entertainment,1759252,Drama,1759252
George Clooney,https://en.wikipedia.org/wiki/George_Clooney,0,The Descendants,0,1,0,0,1,0,1,A,7.3,84,115,2011,3.9,8.1,Fox Searchlight,82584160,Comedy,177243185
Gary Oldman,https://en.wikipedia.org/wiki/Gary_Oldman,0,Tinker Tailor Soldier Spy,0,0,0,0,0,0,0,A,7.1,85,122,2011,3.5,7.8,Focus Features,24149393,Thriller,80630608
Brad Pitt,https://en.wikipedia.org/wiki/Brad_Pitt,0,Moneyball,0,0,0,0,0,0,0,PG-13,7.6,87,133,2011,4,8,Sony / Columbia,75605492,Sports,110206216
Daniel Day-Lewis,https://en.wikipedia.org/wiki/Daniel_Day-Lewis,1,Lincoln,1,1,0,1,1,0,0,U,7.4,86,150,2012,4,8,Buena Vista,182207973,Drama,275293450
Bradley Cooper,https://en.wikipedia.org/wiki/Bradley_Cooper,0,Silver Linings Playbook,0,0,0,0,0,1,1,R,7.8,81,122,2012,4.2,8.2,Weinstein Company,132092958,Comedy,236412453
Hugh Jackman,https://en.wikipedia.org/wiki/Hugh_Jackman,0,Les Miserables,0,0,1,0,0,0,0,A,7.6,63,158,2012,4,6.9,Universal,148809770,Musical,441809770
Joaquin Phoenix,https://en.wikipedia.org/wiki/Joaquin_Phoenix,0,The Master,0,0,0,0,0,0,0,A,7.1,86,138,2012,3.5,8.1,Weinstein Company,16377274,Drama,28258060
Denzel Washington,https://en.wikipedia.org/wiki/Denzel_Washington,0,Flight,0,0,0,0,0,0,0,R,7.3,76,138,2012,3.9,7,Paramount,93772375,Drama,161772375
Matthew McConaughey,https://en.wikipedia.org/wiki/Matthew_McConaughey,1,Dallas Buyers Club,1,1,0,0,1,1,0,R,8,84,117,2013,4.2,7.8,Focus Features,27298285,Drama,55198285
Christian Bale,https://en.wikipedia.org/wiki/Christian_Bale,0,American Hustle,0,0,0,0,0,0,0,A,7.3,90,138,2013,3.9,8.2,Sony / Columbia,150117807,Drama,251171807
Bruce Dern,https://en.wikipedia.org/wiki/Bruce_Dern,0,Nebraska,0,0,0,0,0,0,1,UA,7.7,86,115,2013,4,8.1,Paramount,17654912,Comedy,27682872
Leonardo DiCaprio,https://en.wikipedia.org/wiki/Leonardo_DiCaprio,0,The Wolf of Wall Street,0,0,1,0,0,0,0,A,8.2,75,180,2013,4,7.8,Paramount,116900694,Drama,392000694
Chiwetel Ejiofor,https://en.wikipedia.org/wiki/Chiwetel_Ejiofor,0,12 Years a Slave,0,0,0,1,0,0,0,A,8.1,96,134,2013,4.3,8.9,Fox Searchlight,56671993,Drama,187733202
Eddie Redmayne,https://en.wikipedia.org/wiki/Eddie_Redmayne,1,The Theory of Everything,1,1,0,1,0,0,0,PG-13,7.7,72,123,2014,4,7.3,Focus Features,35893537,Drama,123726688
Steve Carell,https://en.wikipedia.org/wiki/Steve_Carell,0,Foxcatcher,0,0,0,0,0,0,0,R,7,81,134,2014,3.5,7.9,Sony Classics,12096300,Drama,12096300
Bradley Cooper,https://en.wikipedia.org/wiki/Bradley_Cooper,0,American Sniper,0,0,0,0,0,0,0,R,7.3,72,133,2014,4.2,6.9,Warner Bros.,350126372,Drama,547426372
Benedict Cumberbatch,https://en.wikipedia.org/wiki/Benedict_Cumberbatch,0,The Imitation Game,0,0,0,0,0,0,0,PG-13,8,73,114,2014,4.2,7.7,Weinstein Company,91125683,Drama,233555708
Michael Keaton,https://en.wikipedia.org/wiki/Michael_Keaton,0,Birdman,0,0,1,0,1,0,1,A,7.8,88,119,2014,4,8.5,Fox Searchlight,42340598,Comedy,103215094
Leonardo DiCaprio,https://en.wikipedia.org/wiki/Leonardo_DiCaprio,1,The Revenant,1,1,0,1,1,1,0,A,8,76,156,2015,4.2,7.9,Fox,183637894,Action,532950503
Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston,0,Trumbo,0,0,0,0,0,0,0,R,7.5,60,124,2015,3.9,6.7,Bleecker Street,7857741,Drama,8235661
Matt Damon,https://en.wikipedia.org/wiki/Matt_Damon,0,The Martian,0,0,1,0,0,0,1,UA,8,80,144,2015,4.3,7.8,Fox,228433663,Sci-Fi,630161890
Michael Fassbender,https://en.wikipedia.org/wiki/Michael_Fassbender,0,Steve Jobs,0,0,0,0,0,0,0,R,7.2,82,122,2015,3.8,7.6,Universal,17766658,Drama,34441873
Eddie Redmayne,https://en.wikipedia.org/wiki/Eddie_Redmayne,0,The Danish Girl,0,0,0,0,0,0,0,A,7.1,66,119,2015,3.8,6.6,Focus Features,11114018,Drama,64191523
Casey Affleck,https://en.wikipedia.org/wiki/Casey_Affleck,1,Manchester by the Sea,0,1,0,1,1,0,1,R,7.9,96,137,2016,4,8.8,Roadside Attractions,47695371,Drama,77540122
Andrew Garfield,https://en.wikipedia.org/wiki/Andrew_Garfield,0,Hacksaw Ridge,0,0,0,0,0,1,0,R,8.2,71,139,2016,4.3,7.2,Lions Gate,67209615,Action,175302354
Ryan Gosling,https://en.wikipedia.org/wiki/Ryan_Gosling,0,La La Land,0,0,1,0,0,0,0,A,8.1,93,128,2016,4.2,8.7,Summit Entertainment,151101803,Musical,446090184
Viggo Mortensen,https://en.wikipedia.org/wiki/Viggo_Mortensen,0,Captain Fantastic,0,0,0,0,0,1,0,R,7.9,72,118,2016,4,7.1,Bleecker Street,5879736,Drama,5879736
Denzel Washington,https://en.wikipedia.org/wiki/Denzel_Washington,0,Fences,1,0,0,0,0,0,0,UA,7.2,79,139,2016,3.9,7.7,Paramount,57682904,Drama,64414761
Timothee Chalamet,https://en.wikipedia.org/wiki/Timoth%C3%A9e_Chalamet,0,Call Me by Your Name,0,0,0,0,0,0,0,R,8.2,93,132,2017,4.3,8.7,Sony Classics,15240910,Drama,27680888
Daniel Day-Lewis,https://en.wikipedia.org/wiki/Daniel_Day-Lewis,0,Phantom Thread,0,0,0,0,0,0,0,R,7.9,90,130,2017,3.8,8.5,Focus Features,18152094,Drama,32252094
Daniel Kaluuya,https://en.wikipedia.org/wiki/Daniel_Kaluuya,0,Get Out,0,0,0,0,0,0,0,R,7.7,84,104,2017,4.2,8.3,Universal,176040665,Horror,255017329
Gary Oldman,https://en.wikipedia.org/wiki/Gary_Oldman,0,Darkest Hour,1,1,0,1,1,1,0,PG-13,7.4,75,125,2017,4,7.4,Focus Features,53719842,Drama,134919842
Denzel Washington,https://en.wikipedia.org/wiki/Denzel_Washington,0,"Roman J. Israel, Esq.",0,0,0,0,0,0,0,PG-13,6.4,58,122,2017,3.5,5.8,Sony / Columbia,11962712,Crime,12038874
