director_name,href,oscar,movie_name,golden_globe,bafta,critics_choice,dga,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
David Fincher,https://en.wikipedia.org/wiki/David_Fincher,0,The Curious Case of Benjamin Button,0,0,0,0,1,1,PG-13,7.8,70,166,2008,3.8,7.1,Paramount,127509326,Fantasy,333932083
Ron Howard,https://en.wikipedia.org/wiki/Ron_Howard,0,Frost/Nixon,0,0,0,0,0,0,R,7.7,80,122,2008,3.9,7.9,Universal,18622031,Drama,27426335
Gus Van Sant,https://en.wikipedia.org/wiki/Gus_Van_Sant,0,Milk,0,0,0,0,0,0,R,7.6,84,128,2008,4,8,Focus Features,31841299,Drama,54586584
Kathryn Bigelow,https://en.wikipedia.org/wiki/Kathryn_Bigelow,1,The Hurt Locker,0,1,1,1,1,0,R,7.6,94,131,2008,3.9,8.5,Summit Entertainment,17017811,War,49230772
James Cameron,https://en.wikipedia.org/wiki/James_Cameron,0,Avatar,1,0,0,0,1,0,PG-13,7.8,83,162,2009,4.2,7.5,Fox,760507625,Sci-Fi,2787965087
Lee Daniels,https://en.wikipedia.org/wiki/Lee_Daniels,0,Precious,0,0,0,0,0,0,R,7.3,79,110,2009,3.6,7.8,Lions Gate,47566524,Drama,63647833
Jason Reitman,https://en.wikipedia.org/wiki/Jason_Reitman,0,Up in the Air,0,0,0,0,0,0,R,7.4,83,109,2009,3.8,8.1,Paramount,83823381,Comedy,166842739
Quentin Tarantino,https://en.wikipedia.org/wiki/Quentin_Tarantino,0,Inglourious Basterds,0,0,0,0,0,0,A,8.3,69,153,2009,4,7.8,Weinstein Company,120540719,War,321455689
Tom Hooper,https://en.wikipedia.org/wiki/Tom_Hooper,1,The King's Speech,0,0,0,1,0,0,R,8,88,118,2010,4.3,8.6,Weinstein Company,138797449,Drama,414211549
Darren Aronofsky,https://en.wikipedia.org/wiki/Darren_Aronofsky,0,Black Swan,0,0,0,0,0,0,R,8,79,108,2010,4,8.2,Fox Searchlight,106954678,Thriller,329398046
"Joel Cohen, Ethan Cohen",https://en.wikipedia.org/wiki/Coen_brothers,0,True Grit,0,0,0,0,0,0,PG-13,7.6,80,110,2010,4,8.3,Paramount,171243005,Western,252276927
David Fincher,https://en.wikipedia.org/wiki/David_Fincher,0,The Social Network,1,1,1,0,1,1,PG-13,7.7,95,120,2010,4.2,9,Sony / Columbia,96962694,Comedy,224920315
