actor_name,href,oscar,movie_name,sag,golden_globe,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Chris Cooper,https://en.wikipedia.org/wiki/Chris_Cooper,1,Adaptation,0,0,0,1,0,1,R,7.7,83,114,2002,3.6,8.2,Sony / Columbia,22498520,Comedy,32801173
Ed Harris,https://en.wikipedia.org/wiki/Ed_Harris,0,The Hours,0,0,0,0,0,0,PG-13,7.6,80,110,2002,3.8,7.4,Paramount,41675994,Drama,108846072
Paul Newman,https://en.wikipedia.org/wiki/Paul_Newman,0,Road to Perdition,0,0,0,0,0,0,A,7.7,72,117,2002,3.6,7.5,DreamWorks,104454762,Crime,181001478
John C. Reilly,https://en.wikipedia.org/wiki/John_C._Reilly,0,Chicago,0,0,0,0,0,0,PG-13,7.2,82,113,2002,3.5,8,Miramax,170687518,Musical,306776732
Christopher Walken,https://en.wikipedia.org/wiki/Christopher_Walken,0,Catch Me If You Can,1,0,1,0,0,0,UA,8.1,75,141,2002,3.6,7.9,DreamWorks,164615351,Comedy,352114312
Tim Robbins,https://en.wikipedia.org/wiki/Tim_Robbins,1,Mystic River,1,1,0,1,0,0,A,8,84,138,2003,3.8,7.8,Warner Bros.,90135191,Crime,156822020
Alec Baldwin,https://en.wikipedia.org/wiki/Alec_Baldwin,0,The Cooler,0,0,0,0,0,1,R,7,69,101,2003,3.4,6.7,Lions Gate,8291572,Crime,10464788
Benicio del Toro,https://en.wikipedia.org/wiki/Benicio_del_Toro,0,21 Grams,0,0,0,0,0,0,R,7.7,70,124,2003,3.6,7.5,Focus Features,16290476,Drama,60427839
Djimon Hounsou,https://en.wikipedia.org/wiki/Djimon_Hounsou,0,In America,0,0,0,0,1,0,PG-13,7.8,76,105,2002,3.9,7.7,Fox Searchlight,15539656,Drama,25382911
Ken Watanabe,https://en.wikipedia.org/wiki/Ken_Watanabe,0,The Last Samurai,0,0,0,0,0,0,R,7.7,55,154,2003,3.8,6.4,Warner Bros.,111127263,War,456758981
Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman,1,Million Dollar Baby,1,0,0,0,0,0,UA,8.1,86,132,2004,3.9,8.4,Warner Bros.,100492203,Sports,216763646
Alan Alda,https://en.wikipedia.org/wiki/Alan_Alda,0,The Aviator,0,0,0,0,0,0,UA,7.5,77,170,2004,3.5,7.8,Miramax,102610330,Period,213741459
Thomas Haden Church,https://en.wikipedia.org/wiki/Thomas_Haden_Church,0,Sideways,0,0,0,1,1,1,R,7.5,94,126,2004,3.5,8.5,Fox Searchlight,71503593,Comedy,109706931
Jamie Foxx,https://en.wikipedia.org/wiki/Jamie_Foxx,0,Collateral,0,0,0,0,0,0,R,7.6,71,120,2004,3.5,7.5,DreamWorks,101005703,Crime,217764291
Clive Owen,https://en.wikipedia.org/wiki/Clive_Owen,0,Closer,0,1,1,0,0,0,R,7.3,65,104,2004,3.5,6.6,Sony / Columbia,33987757,Romance,115505027
George Clooney,https://en.wikipedia.org/wiki/George_Clooney,1,Syriana,0,1,0,0,0,0,UA,7,76,128,2005,3.4,6.9,Warner Bros.,50824620,Thriller,93974620
Matt Dillon,https://en.wikipedia.org/wiki/Matt_Dillon,0,Crash,0,0,0,0,0,0,A,7.8,69,112,2004,3.9,7.3,Lions Gate,54580300,Drama,98410061
Paul Giamatti,https://en.wikipedia.org/wiki/Paul_Giamatti,0,Cinderella Man,1,0,0,1,0,0,PG-13,8,69,144,2005,3.9,7.4,Universal,61649911,Sports,108539911
Jake Gyllenhaal,https://en.wikipedia.org/wiki/Jake_Gyllenhaal,0,Brokeback Mountain,0,0,1,0,0,1,A,7.7,87,134,2005,3.5,8.2,Focus Features,83043761,Western,178062759
William Hurt,https://en.wikipedia.org/wiki/William_Hurt,0,A History of Violence,0,0,0,0,0,0,R,7.5,81,96,2005,3.5,7.9,New Line,31504633,Crime,60740827
Alan Arkin,https://en.wikipedia.org/wiki/Alan_Arkin,1,Little Miss Sunshine,0,0,1,0,0,0,R,7.8,80,101,2006,4,7.7,Fox Searchlight,59891098,Comedy,100523181
Jackie Earle Haley,https://en.wikipedia.org/wiki/Jackie_Earle_Haley,0,Little Children,0,0,0,0,0,0,R,7.5,75,136,2006,3.8,7.4,New Line,5463019,Drama,14821658
Djimon Hounsou,https://en.wikipedia.org/wiki/Djimon_Hounsou,0,Blood Diamond,0,0,0,0,0,1,A,8,64,143,2006,4,6.3,Warner Bros.,57377916,Thriller,171720398
Eddie Murphy,https://en.wikipedia.org/wiki/Eddie_Murphy,0,Dreamgirls,1,1,0,1,0,0,PG-13,6.5,76,130,2006,3.5,7.2,Paramount (DreamWorks),103365956,Musical,154937680
Mark Wahlberg,https://en.wikipedia.org/wiki/Mark_Wahlberg,0,The Departed,0,0,0,0,0,0,A,8.5,85,151,2006,4.2,8.2,Warner Bros.,132384315,Crime,291465034
Javier Bardem,https://en.wikipedia.org/wiki/Javier_Bardem,1,No Country for Old Men,1,1,1,1,0,0,R,8.1,91,122,2007,4,8.7,Miramax,74283625,Crime,171627166
Casey Affleck,https://en.wikipedia.org/wiki/Casey_Affleck,0,The Assassination of Jesse James by the Coward Robert Ford,0,0,0,0,0,1,R,7.5,68,160,2007,3.8,7.1,Warner Bros.,3909149,Western,15001776
Philip Seymour Hoffman,https://en.wikipedia.org/wiki/Philip_Seymour_Hoffman,0,Charlie Wilson's War,0,0,0,0,0,0,R,7.1,69,102,2007,3.5,7,Universal,66661095,War,119000410
Hal Holbrook,https://en.wikipedia.org/wiki/Hal_Holbrook,0,Into the Wild,0,0,0,0,0,0,R,8.1,73,148,2007,4.2,7.5,Paramount Vantage,18354356,Drama,56255142
Tom Wilkinson,https://en.wikipedia.org/wiki/Tom_Wilkinson,0,Michael Clayton,0,0,0,0,1,0,A,7.3,82,119,2007,3.5,7.6,Warner Bros.,49033882,Thriller,92991835
Heath Ledger,https://en.wikipedia.org/wiki/Heath_Ledger,1,The Dark Knight,1,1,1,1,0,0,UA,9,82,152,2008,4.5,8.6,Warner Bros.,534858444,Action,1004558444
Josh Brolin,https://en.wikipedia.org/wiki/Josh_Brolin,0,Milk,0,0,0,0,0,1,R,7.6,84,128,2008,4,8,Focus Features,31841299,Drama,54586584
Robert Downey Jr.,https://en.wikipedia.org/wiki/Robert_Downey_Jr.,0,Tropic Thunder,0,0,0,0,0,0,R,7,71,107,2008,3.5,7.1,Paramount (DreamWorks),110515313,Action,188072649
Philip Seymour Hoffman,https://en.wikipedia.org/wiki/Philip_Seymour_Hoffman,0,Doubt,0,0,0,0,0,0,PG-13,7.5,68,104,2008,3.8,7,Miramax,33446470,Drama,50907234
Michael Shannon,https://en.wikipedia.org/wiki/Michael_Shannon,0,Revolutionary Road,0,0,0,0,1,0,R,7.3,69,119,2008,3.5,6.7,Paramount Vantage,22911480,Drama,75226021
