actress_name,href,oscar,movie_name,sag,golden_globe_drama,golden_globe_mc,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Annette Bening,https://en.wikipedia.org/wiki/Annette_Bening,0,Being Julia,0,0,1,0,0,1,1,R,7,65,104,2004,3.5,6.7,Sony Classics,7739049,Period,14339171
Catalina Sandino Moreno,https://en.wikipedia.org/wiki/Catalina_Sandino_Moreno,0,Maria Full of Grace,0,0,0,0,0,0,0,R,7.5,87,101,2004,3.9,8,Fine Line,6529624,Foreign,12594630
Imelda Staunton,https://en.wikipedia.org/wiki/Imelda_Staunton,0,Vera Drake,0,0,0,1,0,0,0,R,7.7,83,125,2004,3.9,7.9,Fine Line,3775283,Period,13267869
Kate Winslet,https://en.wikipedia.org/wiki/Kate_Winslet,0,Eternal Sunshine of the Spotless Mind,0,0,0,0,0,0,0,A,8.3,89,108,2004,4.2,8.5,Focus Features,34400301,Sci-Fi,72258126
Reese Witherspoon,https://en.wikipedia.org/wiki/Reese_Witherspoon,1,Walk the Line,1,0,1,1,1,1,0,PG-13,7.9,72,136,2005,3.9,7.2,Fox,119519402,Musical,186438883
Judi Dench,https://en.wikipedia.org/wiki/Judi_Dench,0,Mrs Henderson Presents,0,0,0,0,0,0,0,R,7,71,103,2005,3.4,6.7,Weinstein Company,11036366,Period,27876417
Felicity Huffman,https://en.wikipedia.org/wiki/Felicity_Huffman,0,Transamerica,0,1,0,0,0,1,1,R,7.4,66,103,2005,3.6,6.8,Weinstein Company,9015303,Comedy,15151744
Keira Knightley,https://en.wikipedia.org/wiki/Keira_Knightley,0,Pride & Prejudice,0,0,0,0,0,0,0,R,7.8,79,119,2005,3.9,7.7,Focus Features,38405088,Period,121147947
Charlize Theron,https://en.wikipedia.org/wiki/Charlize_Theron,0,North Country,0,0,0,0,0,0,0,R,7.3,68,126,2005,3.5,6.7,Warner Bros.,18337722,Drama,25211175
Helen Mirren,https://en.wikipedia.org/wiki/Helen_Mirren,1,The Queen,1,1,0,1,1,1,1,PG-13,7.3,91,162,2006,3.5,8.4,Miramax,56441711,Drama,123384128
Penelope Cruz,https://en.wikipedia.org/wiki/Penelope_Cruz,0,Volver,0,0,0,0,0,0,0,R,7.6,84,121,2006,4,7.8,Sony Classics,12899867,Foreign,85585177
Judi Dench,https://en.wikipedia.org/wiki/Judi_Dench,0,Notes on a Scandal,0,0,0,0,0,0,0,R,7.4,73,92,2006,3.8,7.5,Fox Searchlight,17510118,Drama,49752391
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,0,The Devil Wears Prada,0,0,1,0,0,1,0,PG-13,6.9,62,109,2006,3.6,6.7,Fox,124740460,Comedy,326551094
Kate Winslet,https://en.wikipedia.org/wiki/Kate_Winslet,0,Little Children,0,0,0,0,0,0,0,R,7.5,75,136,2006,3.8,7.4,New Line,5463019,Drama,14821658
Marion Cotillard,https://en.wikipedia.org/wiki/Marion_Cotillard,1,La Vie en Rose,0,0,1,1,0,0,0,PG-13,7.6,66,140,2007,4,6.8,Picturehouse,10301706,Foreign,86274793
Cate Blanchett,https://en.wikipedia.org/wiki/Cate_Blanchett,0,Elizabeth: The Golden Age,0,0,0,0,0,0,0,PG-13,6.9,45,114,2007,3.4,5.1,Universal,16383509,Period,74237563
Julie Christie,https://en.wikipedia.org/wiki/Julie_Christie,0,Away from Her,1,1,0,0,1,0,1,PG-13,7.6,88,110,2006,3.6,8.1,Lions Gate,4571521,Drama,9194283
Laura Linney,https://en.wikipedia.org/wiki/Laura_Linney,0,The Savages,0,0,0,0,0,0,0,R,7.2,85,114,2007,3.5,7.5,Fox Searchlight,6623082,Comedy,10642023
Ellen Page,https://en.wikipedia.org/wiki/Ellen_Page,0,Juno,0,0,0,0,0,1,0,PG-13,7.5,81,96,2007,4.2,8.1,Fox Searchlight,143495265,Comedy,231411584
Kate Winslet,https://en.wikipedia.org/wiki/Kate_Winslet,1,The Reader,0,0,0,1,0,0,0,R,7.6,58,124,2008,3.8,6.4,Weinstein Company,34194407,Period,108901967
Anne Hathaway,https://en.wikipedia.org/wiki/Anne_Hathaway,0,Rachel Getting Married,0,0,0,0,1,0,1,R,6.7,82,113,2008,3.4,7.5,Sony Classics,12796841,Drama,16623013
Angelina Jolie,https://en.wikipedia.org/wiki/Angelina_Jolie,0,Changeling,0,0,0,0,0,1,0,R,7.8,63,141,2008,3.9,6.3,Universal,35739802,Thriller,113020256
Melissa Leo,https://en.wikipedia.org/wiki/Melissa_Leo,0,Frozen River,0,0,0,0,0,0,0,R,7.2,82,97,2008,3.4,7.3,Sony Classics,2511476,Drama,5414283
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,0,Doubt,1,0,0,0,1,0,0,PG-13,7.5,68,104,2008,3.8,7,Miramax,33446470,Drama,50907234
Sandra Bullock,https://en.wikipedia.org/wiki/Sandra_Bullock,1,The Blind Side,1,1,0,0,1,0,0,PG-13,7.7,53,129,2009,4.2,6.1,Warner Bros.,255959475,Sports,309208309
Helen Mirren,https://en.wikipedia.org/wiki/Helen_Mirren,0,The Last Station,0,0,0,0,0,0,0,R,7,76,112,2009,3.5,6.7,Sony Classics,6617867,Drama,13550772
Carey Mulligan,https://en.wikipedia.org/wiki/Carey_Mulligan,0,An Education,0,0,0,1,0,0,1,PG-13,7.3,85,100,2009,3.9,7.9,Sony Classics,12574914,Period,26096852
Gabourey Sidibe,https://en.wikipedia.org/wiki/Gabourey_Sidibe,0,Precious,0,0,0,0,0,0,0,R,7.3,79,110,2009,3.6,7.8,Lions Gate,47566524,Drama,63647833
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,0,Julie & Julia,0,0,1,0,1,1,0,PG-13,7,66,118,2009,3.5,6.7,Sony / Columbia,94125426,Comedy,129540499
Natalie Portman,https://en.wikipedia.org/wiki/Natalie_Portman,1,Black Swan,1,1,0,1,1,0,0,R,8,79,108,2010,4,8.2,Fox Searchlight,106954678,Thriller,329398046
Annette Bening,https://en.wikipedia.org/wiki/Annette_Bening,0,The Kids Are All Right,0,0,1,0,0,0,0,R,7,86,106,2010,3.6,7.8,Focus Features,20811365,Comedy,34705850
Nicole Kidman,https://en.wikipedia.org/wiki/Nicole_Kidman,0,Rabbit Hole,0,0,0,0,0,0,0,PG-13,7,76,91,2010,3.5,7.6,Lions Gate,2229058,Drama,5129058
